seriesID,data__year,data__period,data__periodName,data__latest,data__value,data__date,State,Area,Industry
,2020,M01,January,,389867,"January, 2020",,,
,2019,M12,December,,392976,"December, 2019",,,
,2019,M11,November,,393553,"November, 2019",,,
,2019,M10,October,,394766,"October, 2019",,,
,2019,M09,September,,392859,"September, 2019",,,
,2019,M08,August,,390660,"August, 2019",,,
,2019,M07,July,,392604,"July, 2019",,,
,2019,M06,June,,390470,"June, 2019",,,
,2019,M05,May,,390239,"May, 2019",,,
,2019,M04,April,,390682,"April, 2019",,,
,2019,M03,March,,389205,"March, 2019",,,
,2019,M02,February,,388578,"February, 2019",,,
,2019,M01,January,,384370,"January, 2019",,,
,2018,M12,December,,386404,"December, 2018",,,
,2018,M11,November,,386252,"November, 2018",,,
,2018,M10,October,,386535,"October, 2018",,,
,2018,M09,September,,384116,"September, 2018",,,
,2018,M08,August,,380458,"August, 2018",,,
,2018,M07,July,,385132,"July, 2018",,,
,2018,M06,June,,384100,"June, 2018",,,
,2018,M05,May,,383124,"May, 2018",,,
,2018,M04,April,,383422,"April, 2018",,,
,2018,M03,March,,382731,"March, 2018",,,
,2018,M02,February,,381483,"February, 2018",,,
,2018,M01,January,,377611,"January, 2018",,,
LAUMT452486000000005,2021,M03,March,TRUE,418153,"March, 2021",South Carolina,"Greenville-Anderson-Mauldin, SC",General
,2021,M02,February,,414612,"February, 2021",,,
,2021,M01,January,,406460,"January, 2021",,,
,2020,M12,December,,405434,"December, 2020",,,
,2020,M11,November,,407031,"November, 2020",,,
,2020,M10,October,,422237,"October, 2020",,,
,2020,M09,September,,421131,"September, 2020",,,
,2020,M08,August,,417955,"August, 2020",,,
,2020,M07,July,,412705,"July, 2020",,,
,2020,M06,June,,404762,"June, 2020",,,
,2020,M05,May,,378601,"May, 2020",,,
,2020,M04,April,,377986,"April, 2020",,,
,2020,M03,March,,419045,"March, 2020",,,
,2020,M02,February,,421775,"February, 2020",,,
,2020,M01,January,,419825,"January, 2020",,,
,2019,M12,December,,422824,"December, 2019",,,
,2019,M11,November,,423251,"November, 2019",,,
,2019,M10,October,,424556,"October, 2019",,,
,2019,M09,September,,424082,"September, 2019",,,
,2019,M08,August,,420506,"August, 2019",,,
,2019,M07,July,,424745,"July, 2019",,,
,2019,M06,June,,425163,"June, 2019",,,
,2019,M05,May,,423048,"May, 2019",,,
,2019,M04,April,,424252,"April, 2019",,,
,2019,M03,March,,422390,"March, 2019",,,
,2019,M02,February,,421039,"February, 2019",,,
,2019,M01,January,,417197,"January, 2019",,,
,2018,M12,December,,419610,"December, 2018",,,
,2018,M11,November,,419208,"November, 2018",,,
,2018,M10,October,,420252,"October, 2018",,,
,2018,M09,September,,415549,"September, 2018",,,
,2018,M08,August,,411886,"August, 2018",,,
,2018,M07,July,,415214,"July, 2018",,,
,2018,M06,June,,414622,"June, 2018",,,
,2018,M05,May,,412589,"May, 2018",,,
,2018,M04,April,,412073,"April, 2018",,,
,2018,M03,March,,409958,"March, 2018",,,
,2018,M02,February,,407742,"February, 2018",,,
,2018,M01,January,,402971,"January, 2018",,,
LAUMT454390000000005,2021,M03,March,TRUE,163213,"March, 2021",South Carolina,"Spartanburg, SC",General
,2021,M02,February,,161762,"February, 2021",,,
,2021,M01,January,,158528,"January, 2021",,,
,2020,M12,December,,158722,"December, 2020",,,
,2020,M11,November,,158096,"November, 2020",,,
,2020,M10,October,,165396,"October, 2020",,,
,2020,M09,September,,163709,"September, 2020",,,
,2020,M08,August,,161881,"August, 2020",,,
,2020,M07,July,,158408,"July, 2020",,,
,2020,M06,June,,159636,"June, 2020",,,
,2020,M05,May,,148546,"May, 2020",,,
,2020,M04,April,,149177,"April, 2020",,,
,2020,M03,March,,162046,"March, 2020",,,
,2020,M02,February,,162559,"February, 2020",,,
,2020,M01,January,,162284,"January, 2020",,,
,2019,M12,December,,162585,"December, 2019",,,
,2019,M11,November,,163151,"November, 2019",,,
,2019,M10,October,,164153,"October, 2019",,,
,2019,M09,September,,163622,"September, 2019",,,
,2019,M08,August,,161464,"August, 2019",,,
,2019,M07,July,,161685,"July, 2019",,,
,2019,M06,June,,161912,"June, 2019",,,
,2019,M05,May,,161425,"May, 2019",,,
,2019,M04,April,,161751,"April, 2019",,,
,2019,M03,March,,161856,"March, 2019",,,
,2019,M02,February,,160603,"February, 2019",,,
,2019,M01,January,,159168,"January, 2019",,,
,2018,M12,December,,159073,"December, 2018",,,
,2018,M11,November,,159035,"November, 2018",,,
,2018,M10,October,,158439,"October, 2018",,,
,2018,M09,September,,156406,"September, 2018",,,
,2018,M08,August,,154148,"August, 2018",,,
,2018,M07,July,,154959,"July, 2018",,,
,2018,M06,June,,154765,"June, 2018",,,
,2018,M05,May,,154053,"May, 2018",,,
,2018,M04,April,,153757,"April, 2018",,,
,2018,M03,March,,153925,"March, 2018",,,
,2018,M02,February,,152971,"February, 2018",,,
,2018,M01,January,,151253,"January, 2018",,,
LAUMT454494000000005,2021,M03,March,TRUE,41445,"March, 2021",South Carolina,"Sumter, SC",General
,2021,M02,February,,41197,"February, 2021",,,
,2021,M01,January,,41130,"January, 2021",,,
,2020,M12,December,,40903,"December, 2020",,,
,2020,M11,November,,40534,"November, 2020",,,
,2020,M10,October,,42256,"October, 2020",,,
,2020,M09,September,,41205,"September, 2020",,,
,2020,M08,August,,40795,"August, 2020",,,
,2020,M07,July,,40321,"July, 2020",,,
,2020,M06,June,,40592,"June, 2020",,,
,2020,M05,May,,38076,"May, 2020",,,
,2020,M04,April,,38361,"April, 2020",,,
,2020,M03,March,,41144,"March, 2020",,,
,2020,M02,February,,41612,"February, 2020",,,
,2020,M01,January,,41242,"January, 2020",,,
,2019,M12,December,,41413,"December, 2019",,,
,2019,M11,November,,41717,"November, 2019",,,
,2019,M10,October,,41915,"October, 2019",,,
,2019,M09,September,,42169,"September, 2019",,,
,2019,M08,August,,41681,"August, 2019",,,
,2019,M07,July,,42071,"July, 2019",,,
,2019,M06,June,,42114,"June, 2019",,,
,2019,M05,May,,41999,"May, 2019",,,
,2019,M04,April,,42135,"April, 2019",,,
,2019,M03,March,,41962,"March, 2019",,,
,2019,M02,February,,42043,"February, 2019",,,
,2019,M01,January,,41859,"January, 2019",,,
,2018,M12,December,,41549,"December, 2018",,,
,2018,M11,November,,41483,"November, 2018",,,
,2018,M10,October,,41884,"October, 2018",,,
,2018,M09,September,,41733,"September, 2018",,,
,2018,M08,August,,41285,"August, 2018",,,
,2018,M07,July,,42090,"July, 2018",,,
,2018,M06,June,,42000,"June, 2018",,,
,2018,M05,May,,42036,"May, 2018",,,
,2018,M04,April,,41859,"April, 2018",,,
,2018,M03,March,,41895,"March, 2018",,,
,2018,M02,February,,41809,"February, 2018",,,
,2018,M01,January,,41337,"January, 2018",,,
