seriesID,data__year,data__period,data__periodName,data__value,data__footnotes__code,data__footnotes__text,data__date,State,Area,Industry
,2020,M07,July,35.6,,,"July, 2020",,,
,2020,M06,June,35.7,,,"June, 2020",,,
,2020,M05,May,32.9,,,"May, 2020",,,
,2020,M04,April,33.5,,,"April, 2020",,,
,2020,M03,March,38.1,,,"March, 2020",,,
,2020,M02,February,38.1,,,"February, 2020",,,
,2020,M01,January,38.0,,,"January, 2020",,,
,2019,M12,December,38.0,,,"December, 2019",,,
,2019,M11,November,37.9,,,"November, 2019",,,
,2019,M10,October,37.6,,,"October, 2019",,,
,2019,M09,September,37.8,,,"September, 2019",,,
,2019,M08,August,37.8,,,"August, 2019",,,
,2019,M07,July,37.7,,,"July, 2019",,,
,2019,M06,June,37.5,,,"June, 2019",,,
,2019,M05,May,37.0,,,"May, 2019",,,
,2019,M04,April,36.8,,,"April, 2019",,,
,2019,M03,March,36.7,,,"March, 2019",,,
,2019,M02,February,36.4,,,"February, 2019",,,
,2019,M01,January,35.9,,,"January, 2019",,,
,2018,M12,December,36.1,,,"December, 2018",,,
,2018,M11,November,35.9,,,"November, 2018",,,
,2018,M10,October,35.7,,,"October, 2018",,,
,2018,M09,September,35.1,,,"September, 2018",,,
,2018,M08,August,34.9,,,"August, 2018",,,
,2018,M07,July,34.6,,,"July, 2018",,,
,2018,M06,June,34.4,,,"June, 2018",,,
,2018,M05,May,34.0,,,"May, 2018",,,
,2018,M04,April,33.7,,,"April, 2018",,,
,2018,M03,March,33.3,,,"March, 2018",,,
,2018,M02,February,33.1,,,"February, 2018",,,
,2018,M01,January,32.8,,,"January, 2018",,,
SMU45449403000000001,2021,M04,April,6.5,P,Preliminary,"April, 2021",South Carolina,"Sumter, SC",Manufacturing
,2021,M03,March,6.7,,,"March, 2021",,,
,2021,M02,February,6.6,,,"February, 2021",,,
,2021,M01,January,6.6,,,"January, 2021",,,
,2020,M12,December,6.7,,,"December, 2020",,,
,2020,M11,November,6.7,,,"November, 2020",,,
,2020,M10,October,6.6,,,"October, 2020",,,
,2020,M09,September,6.6,,,"September, 2020",,,
,2020,M08,August,6.4,,,"August, 2020",,,
,2020,M07,July,6.1,,,"July, 2020",,,
,2020,M06,June,6.6,,,"June, 2020",,,
,2020,M05,May,5.9,,,"May, 2020",,,
,2020,M04,April,5.7,,,"April, 2020",,,
,2020,M03,March,6.9,,,"March, 2020",,,
,2020,M02,February,6.9,,,"February, 2020",,,
,2020,M01,January,6.9,,,"January, 2020",,,
,2019,M12,December,7.0,,,"December, 2019",,,
,2019,M11,November,7.0,,,"November, 2019",,,
,2019,M10,October,7.0,,,"October, 2019",,,
,2019,M09,September,7.0,,,"September, 2019",,,
,2019,M08,August,7.1,,,"August, 2019",,,
,2019,M07,July,7.1,,,"July, 2019",,,
,2019,M06,June,7.1,,,"June, 2019",,,
,2019,M05,May,7.0,,,"May, 2019",,,
,2019,M04,April,7.0,,,"April, 2019",,,
,2019,M03,March,7.1,,,"March, 2019",,,
,2019,M02,February,7.0,,,"February, 2019",,,
,2019,M01,January,7.1,,,"January, 2019",,,
,2018,M12,December,7.2,,,"December, 2018",,,
,2018,M11,November,7.1,,,"November, 2018",,,
,2018,M10,October,7.0,,,"October, 2018",,,
,2018,M09,September,6.9,,,"September, 2018",,,
,2018,M08,August,7.0,,,"August, 2018",,,
,2018,M07,July,7.0,,,"July, 2018",,,
,2018,M06,June,7.0,,,"June, 2018",,,
,2018,M05,May,6.9,,,"May, 2018",,,
,2018,M04,April,6.9,,,"April, 2018",,,
,2018,M03,March,6.8,,,"March, 2018",,,
,2018,M02,February,6.8,,,"February, 2018",,,
,2018,M01,January,6.8,,,"January, 2018",,,
